family,difficulty,condition,seed,success,survived,steps,unlocks,warns,wbcr,tq,n_warns,prcr
funnel_trap,medium,robot_belief_pre,6,0,0,12,0,2,1,0.3095,14,1
funnel_trap,medium,robot_belief_pre,7,0,0,12,0,2,1,0.3095,14,1
funnel_trap,medium,robot_belief_pre,8,0,0,13,0,2,1,0.2667,15,0
funnel_trap,medium,robot_belief_pre,9,1,1,16,0,2,1,0.2222,18,0
funnel_trap,medium,robot_belief_pre,10,0,0,13,0,2,1,0.2667,15,0
funnel_trap,medium,robot_belief_pre,11,0,0,13,0,2,1,0.2667,15,0
funnel_trap,medium,robot_belief_pre,12,0,0,13,0,2,1,0.2667,15,0
funnel_trap,medium,robot_belief_pre,13,0,0,13,0,2,1,0.2667,15,0
funnel_trap,medium,robot_belief_pre,14,0,0,13,0,2,1,0.2667,15,0
funnel_trap,medium,robot_belief_pre,15,1,1,16,0,2,1,0.2222,18,0
funnel_trap,medium,robot_belief_pre,16,0,0,13,0,2,1,0.2667,15,0
funnel_trap,medium,robot_belief_pre,17,1,1,16,0,2,1,0.2222,18,0
funnel_trap,medium,robot_belief_pre,18,0,0,13,0,2,1,0.2667,15,0
funnel_trap,medium,robot_belief_pre,19,0,0,12,0,2,1,0.3095,14,1
funnel_trap,medium,robot_belief_post,0,1,1,16,0,2,1,0.2857,14,0
funnel_trap,medium,robot_belief_post,1,1,1,16,0,2,1,0.2857,14,0
funnel_trap,medium,robot_belief_post,2,1,1,16,0,2,1,0.2857,14,0
funnel_trap,medium,robot_belief_post,3,0,0,13,0,2,1,0.3077,13,0
funnel_trap,medium,robot_belief_post,4,0,0,13,0,2,1,0.3077,13,0
funnel_trap,medium,robot_belief_post,5,0,0,13,0,2,1,0.3077,13,0
funnel_trap,medium,robot_belief_post,6,0,0,12,0,2,1,0.3333,13,1
funnel_trap,medium,robot_belief_post,7,0,0,13,0,2,1,0.3077,13,0
funnel_trap,medium,robot_belief_post,8,0,0,13,0,2,1,0.3077,13,0
funnel_trap,medium,robot_belief_post,9,1,1,16,0,2,1,0.2857,14,0
funnel_trap,medium,robot_belief_post,10,0,0,13,0,2,1,0.3077,13,0
funnel_trap,medium,robot_belief_post,11,1,1,16,0,2,1,0.2857,14,0
funnel_trap,medium,robot_belief_post,12,1,1,16,0,2,1,0.2857,14,0
funnel_trap,medium,robot_belief_post,13,0,0,13,0,2,1,0.3077,13,0
funnel_trap,medium,robot_belief_post,14,1,1,16,0,2,1,0.2857,14,0
funnel_trap,medium,robot_belief_post,15,1,1,16,0,2,1,0.2857,14,0
funnel_trap,medium,robot_belief_post,16,0,0,13,0,2,1,0.3077,13,0
funnel_trap,medium,robot_belief_post,17,1,1,16,0,2,1,0.2857,14,0
funnel_trap,medium,robot_belief_post,18,0,0,13,0,2,1,0.3077,13,0
funnel_trap,medium,robot_belief_post,19,0,0,12,0,2,1,0.3333,13,1
funnel_trap,hard,no_tutor,0,0,0,14,0,0,1,0.0,0,0
funnel_trap,hard,no_tutor,1,0,0,3,0,0,1,0.0,0,1
funnel_trap,hard,no_tutor,2,0,0,14,0,0,1,0.0,0,0
funnel_trap,hard,no_tutor,3,0,0,13,0,0,1,0.0,0,1
funnel_trap,hard,no_tutor,4,0,0,14,0,0,1,0.0,0,0
funnel_trap,hard,no_tutor,5,0,0,14,0,0,1,0.0,0,0
funnel_trap,hard,no_tutor,6,0,0,5,0,0,1,0.0,0,1
funnel_trap,hard,no_tutor,7,0,0,15,0,0,1,0.0,0,0
funnel_trap,hard,no_tutor,8,0,0,14,0,0,1,0.0,0,0
funnel_trap,hard,no_tutor,9,0,0,14,0,0,1,0.0,0,0
funnel_trap,hard,no_tutor,10,0,0,13,0,0,1,0.0,0,1
funnel_trap,hard,no_tutor,11,0,0,14,0,0,1,0.0,0,0
funnel_trap,hard,no_tutor,12,0,0,14,0,0,1,0.0,0,0
funnel_trap,hard,no_tutor,13,0,0,13,0,0,1,0.0,0,1
funnel_trap,hard,no_tutor,14,1,1,18,0,0,1,0.0,0,0
funnel_trap,hard,no_tutor,15,0,0,13,0,0,1,0.0,0,1
funnel_trap,hard,no_tutor,16,0,0,3,0,0,1,0.0,0,1
funnel_trap,hard,no_tutor,17,0,0,14,0,0,1,0.0,0,0
funnel_trap,hard,no_tutor,18,0,0,14,0,0,1,0.0,0,0
funnel_trap,hard,no_tutor,19,0,0,7,0,0,1,0.0,0,1
funnel_trap,hard,warning_only,0,0,0,14,0,0,1,0.0,0,0
funnel_trap,hard,warning_only,1,0,0,3,0,0,1,0.0,0,1
funnel_trap,hard,warning_only,2,0,0,14,0,0,1,0.0,0,0
funnel_trap,hard,warning_only,3,0,0,13,0,0,1,0.0,0,1
funnel_trap,hard,warning_only,4,0,0,14,0,0,1,0.0,0,0
