seed,family,variant,survived,reached_goal,steps,risky_entered,safe_branch_chosen,warn_count,unlock_count,necessary_warn,unnecessary_warn,necessary_segments,unnecessary_segments,delta_H,M_true_before,M_true_after,delta_nll_local
13,elcb_po,legacy_bias,True,True,15,0,True,1,0,1,0,1,0,0.0,0.25,0.25,-0.6419
14,elcb_po,legacy_bias,True,True,15,0,True,1,0,1,0,1,0,0.0,0.25,0.25,-0.6419
15,elcb_po,legacy_bias,True,True,15,0,True,1,0,1,0,1,0,0.0,0.25,0.25,-0.6419
16,elcb_po,legacy_bias,True,True,15,0,True,1,0,1,0,1,0,0.0,0.25,0.25,-0.6419
17,elcb_po,legacy_bias,True,True,15,0,True,1,0,1,0,1,0,0.0,0.25,0.25,-0.6419
18,elcb_po,legacy_bias,True,True,15,0,True,1,0,1,0,1,0,0.0,0.25,0.25,-0.6419
19,elcb_po,legacy_bias,True,True,15,0,True,1,0,1,0,1,0,0.0,0.25,0.25,-0.6419
20,elcb_po,legacy_bias,True,True,15,0,True,1,0,1,0,1,0,0.0,0.25,0.25,-0.6419
21,elcb_po,legacy_bias,True,True,15,0,True,1,0,1,0,1,0,0.0,0.25,0.25,-0.6419
22,elcb_po,legacy_bias,True,True,15,0,True,1,0,1,0,1,0,0.0,0.25,0.25,-0.6419
23,elcb_po,legacy_bias,True,True,15,0,True,1,0,1,0,1,0,0.0,0.25,0.25,-0.6419
24,elcb_po,legacy_bias,True,True,15,0,True,1,0,1,0,1,0,0.0,0.25,0.25,-0.6419
25,elcb_po,legacy_bias,True,True,15,0,True,1,0,1,0,1,0,0.0,0.25,0.25,-0.6419
26,elcb_po,legacy_bias,True,True,15,0,True,1,0,1,0,1,0,0.0,0.25,0.25,-0.6419
27,elcb_po,legacy_bias,True,True,15,0,True,1,0,1,0,1,0,0.0,0.25,0.25,-0.6419
28,elcb_po,legacy_bias,True,True,15,0,True,1,0,1,0,1,0,0.0,0.25,0.25,-0.6419
29,elcb_po,legacy_bias,True,True,15,0,True,1,0,1,0,1,0,0.0,0.25,0.25,-0.6419
30,elcb_po,legacy_bias,True,True,15,0,True,1,0,1,0,1,0,0.0,0.25,0.25,-0.6419
31,elcb_po,legacy_bias,True,True,15,0,True,1,0,1,0,1,0,0.0,0.25,0.25,-0.6419
32,elcb_po,legacy_bias,True,True,15,0,True,1,0,1,0,1,0,0.0,0.25,0.25,-0.6419
33,elcb_po,legacy_bias,True,True,15,0,True,1,0,1,0,1,0,0.0,0.25,0.25,-0.6419
34,elcb_po,legacy_bias,True,True,15,0,True,1,0,1,0,1,0,0.0,0.25,0.25,-0.6419
35,elcb_po,legacy_bias,True,True,15,0,True,1,0,1,0,1,0,0.0,0.25,0.25,-0.6419
36,elcb_po,legacy_bias,True,True,15,0,True,1,0,1,0,1,0,0.0,0.25,0.25,-0.6419
37,elcb_po,legacy_bias,True,True,15,0,True,1,0,1,0,1,0,0.0,0.25,0.25,-0.6419
38,elcb_po,legacy_bias,True,True,15,0,True,1,0,1,0,1,0,0.0,0.25,0.25,-0.6419
39,elcb_po,legacy_bias,True,True,15,0,True,1,0,1,0,1,0,0.0,0.25,0.25,-0.6419
40,elcb_po,legacy_bias,True,True,15,0,True,1,0,1,0,1,0,0.0,0.25,0.25,-0.6419
41,elcb_po,legacy_bias,True,True,15,0,True,1,0,1,0,1,0,0.0,0.25,0.25,-0.6419
42,elcb_po,legacy_bias,True,True,15,0,True,1,0,1,0,1,0,0.0,0.25,0.25,-0.6419
43,elcb_po,legacy_bias,True,True,15,0,True,1,0,1,0,1,0,0.0,0.25,0.25,-0.6419
44,elcb_po,legacy_bias,True,True,15,0,True,1,0,1,0,1,0,0.0,0.25,0.25,-0.6419
45,elcb_po,legacy_bias,True,True,15,0,True,1,0,1,0,1,0,0.0,0.25,0.25,-0.6419
46,elcb_po,legacy_bias,True,True,15,0,True,1,0,1,0,1,0,0.0,0.25,0.25,-0.6419
47,elcb_po,legacy_bias,True,True,15,0,True,1,0,1,0,1,0,0.0,0.25,0.25,-0.6419
48,elcb_po,legacy_bias,True,True,15,0,True,1,0,1,0,1,0,0.0,0.25,0.25,-0.6419
49,elcb_po,legacy_bias,True,True,15,0,True,1,0,1,0,1,0,0.0,0.25,0.25,-0.6419
0,elcb_po,rsa_obs_s1,True,True,15,0,True,1,0,1,0,1,0,0.6874,0.25,0.7695345137374588,-0.5547
1,elcb_po,rsa_obs_s1,True,True,15,0,True,1,0,1,0,1,0,0.6874,0.25,0.7695345137374588,-0.5547
2,elcb_po,rsa_obs_s1,True,True,15,0,True,1,0,1,0,1,0,0.6874,0.25,0.7695345137374588,-0.5547
3,elcb_po,rsa_obs_s1,True,True,15,0,True,1,0,1,0,1,0,0.6874,0.25,0.7695345137374588,-0.5547
4,elcb_po,rsa_obs_s1,True,True,15,0,True,1,0,1,0,1,0,0.6874,0.25,0.7695345137374588,-0.5547
5,elcb_po,rsa_obs_s1,True,True,15,0,True,1,0,1,0,1,0,0.6874,0.25,0.7695345137374588,-0.5547
6,elcb_po,rsa_obs_s1,True,True,15,0,True,1,0,1,0,1,0,0.6874,0.25,0.7695345137374588,-0.5547
7,elcb_po,rsa_obs_s1,True,True,15,0,True,1,0,1,0,1,0,0.6874,0.25,0.7695345137374588,-0.5547
8,elcb_po,rsa_obs_s1,True,True,15,0,True,1,0,1,0,1,0,0.6874,0.25,0.7695345137374588,-0.5547
9,elcb_po,rsa_obs_s1,True,True,15,0,True,1,0,1,0,1,0,0.6874,0.25,0.7695345137374588,-0.5547
10,elcb_po,rsa_obs_s1,True,True,15,0,True,1,0,1,0,1,0,0.6874,0.25,0.7695345137374588,-0.5547
11,elcb_po,rsa_obs_s1,True,True,15,0,True,1,0,1,0,1,0,0.6874,0.25,0.7695345137374588,-0.5547
12,elcb_po,rsa_obs_s1,True,True,15,0,True,1,0,1,0,1,0,0.6874,0.25,0.7695345137374588,-0.5547
13,elcb_po,rsa_obs_s1,True,True,15,0,True,1,0,1,0,1,0,0.6874,0.25,0.7695345137374588,-0.5547
14,elcb_po,rsa_obs_s1,True,True,15,0,True,1,0,1,0,1,0,0.6874,0.25,0.7695345137374588,-0.5547
15,elcb_po,rsa_obs_s1,True,True,15,0,True,1,0,1,0,1,0,0.6874,0.25,0.7695345137374588,-0.5547
16,elcb_po,rsa_obs_s1,True,True,15,0,True,1,0,1,0,1,0,0.6874,0.25,0.7695345137374588,-0.5547
17,elcb_po,rsa_obs_s1,True,True,15,0,True,1,0,1,0,1,0,0.6874,0.25,0.7695345137374588,-0.5547
18,elcb_po,rsa_obs_s1,True,True,15,0,True,1,0,1,0,1,0,0.6874,0.25,0.7695345137374588,-0.5547
19,elcb_po,rsa_obs_s1,True,True,15,0,True,1,0,1,0,1,0,0.6874,0.25,0.7695345137374588,-0.5547
20,elcb_po,rsa_obs_s1,True,True,15,0,True,1,0,1,0,1,0,0.6874,0.25,0.7695345137374588,-0.5547
21,elcb_po,rsa_obs_s1,True,True,15,0,True,1,0,1,0,1,0,0.6874,0.25,0.7695345137374588,-0.5547
22,elcb_po,rsa_obs_s1,True,True,15,0,True,1,0,1,0,1,0,0.6874,0.25,0.7695345137374588,-0.5547
23,elcb_po,rsa_obs_s1,True,True,15,0,True,1,0,1,0,1,0,0.6874,0.25,0.7695345137374588,-0.5547
24,elcb_po,rsa_obs_s1,True,True,15,0,True,1,0,1,0,1,0,0.6874,0.25,0.7695345137374588,-0.5547
25,elcb_po,rsa_obs_s1,True,True,15,0,True,1,0,1,0,1,0,0.6874,0.25,0.7695345137374588,-0.5547
26,elcb_po,rsa_obs_s1,True,True,15,0,True,1,0,1,0,1,0,0.6874,0.25,0.7695345137374588,-0.5547
27,elcb_po,rsa_obs_s1,True,True,15,0,True,1,0,1,0,1,0,0.6874,0.25,0.7695345137374588,-0.5547
28,elcb_po,rsa_obs_s1,True,True,15,0,True,1,0,1,0,1,0,0.6874,0.25,0.7695345137374588,-0.5547
29,elcb_po,rsa_obs_s1,True,True,15,0,True,1,0,1,0,1,0,0.6874,0.25,0.7695345137374588,-0.5547
30,elcb_po,rsa_obs_s1,True,True,15,0,True,1,0,1,0,1,0,0.6874,0.25,0.7695345137374588,-0.5547
31,elcb_po,rsa_obs_s1,True,True,15,0,True,1,0,1,0,1,0,0.6874,0.25,0.7695345137374588,-0.5547
32,elcb_po,rsa_obs_s1,True,True,15,0,True,1,0,1,0,1,0,0.6874,0.25,0.7695345137374588,-0.5547
33,elcb_po,rsa_obs_s1,True,True,15,0,True,1,0,1,0,1,0,0.6874,0.25,0.7695345137374588,-0.5547
34,elcb_po,rsa_obs_s1,True,True,15,0,True,1,0,1,0,1,0,0.6874,0.25,0.7695345137374588,-0.5547
35,elcb_po,rsa_obs_s1,True,True,15,0,True,1,0,1,0,1,0,0.6874,0.25,0.7695345137374588,-0.5547
36,elcb_po,rsa_obs_s1,True,True,15,0,True,1,0,1,0,1,0,0.6874,0.25,0.7695345137374588,-0.5547
37,elcb_po,rsa_obs_s1,True,True,15,0,True,1,0,1,0,1,0,0.6874,0.25,0.7695345137374588,-0.5547
38,elcb_po,rsa_obs_s1,True,True,15,0,True,1,0,1,0,1,0,0.6874,0.25,0.7695345137374588,-0.5547
39,elcb_po,rsa_obs_s1,True,True,15,0,True,1,0,1,0,1,0,0.6874,0.25,0.7695345137374588,-0.5547
40,elcb_po,rsa_obs_s1,True,True,15,0,True,1,0,1,0,1,0,0.6874,0.25,0.7695345137374588,-0.5547
41,elcb_po,rsa_obs_s1,True,True,15,0,True,1,0,1,0,1,0,0.6874,0.25,0.7695345137374588,-0.5547
42,elcb_po,rsa_obs_s1,True,True,15,0,True,1,0,1,0,1,0,0.6874,0.25,0.7695345137374588,-0.5547
43,elcb_po,rsa_obs_s1,True,True,15,0,True,1,0,1,0,1,0,0.6874,0.25,0.7695345137374588,-0.5547
44,elcb_po,rsa_obs_s1,True,True,15,0,True,1,0,1,0,1,0,0.6874,0.25,0.7695345137374588,-0.5547
45,elcb_po,rsa_obs_s1,True,True,15,0,True,1,0,1,0,1,0,0.6874,0.25,0.7695345137374588,-0.5547
46,elcb_po,rsa_obs_s1,True,True,15,0,True,1,0,1,0,1,0,0.6874,0.25,0.7695345137374588,-0.5547
